,Geo_entity,Description,Descriptive Name
0,1,Citywide,New York City
1,101,By Neighborhood (community district),"Battery Park City, Tribeca"
2,102,By Neighborhood (community district),"Greenwich Village, SoHo"
3,103,By Neighborhood (community district),"Lower East Side, Chinatown"
4,104,By Neighborhood (community district),"Chelsea, Clinton"
5,105,By Neighborhood (community district),Midtown Business District
6,106,By Neighborhood (community district),"Stuyvesant Town, Turtle Bay"
7,107,By Neighborhood (community district),"West Side, Upper West Side"
8,108,By Neighborhood (community district),Upper East Side
9,109,By Neighborhood (community district),"Manhattanville, Hamilton Heights"
10,110,By Neighborhood (community district),Central Harlem
11,111,By Neighborhood (community district),East Harlem
12,112,By Neighborhood (community district),"Washington Heights, Inwood"
13,201,By Neighborhood (community district),"Melrose, Mott Haven, Port Morris"
14,202,By Neighborhood (community district),"Hunts Point, Longwood"
15,203,By Neighborhood (community district),"Morrisania, Crotona Park East"
16,204,By Neighborhood (community district),"Highbridge, Concourse Village"
17,205,By Neighborhood (community district),"University Heights, Fordham, Mt Hope"
18,206,By Neighborhood (community district),"East Tremont, Belmont"
19,207,By Neighborhood (community district),"Bedford Park, Norwood, Fordham"
20,208,By Neighborhood (community district),"Riverdale, Kingsbridge, Marble Hill"
21,209,By Neighborhood (community district),"Soundville, Parkchester"
22,210,By Neighborhood (community district),"Throgs Nk., Co-op City, Pelham Bay"
23,211,By Neighborhood (community district),"Pelham Parkway, Morris Park, Laconia"
24,212,By Neighborhood (community district),"Wakefield, Williamsbridge"
25,301,By Neighborhood (community district),"Williamsburg, Greenpoint"
26,302,By Neighborhood (community district),"Brooklyn Heights, Fort Greene"
27,303,By Neighborhood (community district),Bedford Stuyvesant
28,304,By Neighborhood (community district),Bushwick
29,305,By Neighborhood (community district),"East New York, Starrett City"
30,306,By Neighborhood (community district),"Park Slope, Carroll Gardens"
31,307,By Neighborhood (community district),"Sunset Park, Windsor Terrace"
32,308,By Neighborhood (community district),Crown Heights North
33,309,By Neighborhood (community district),"Crown Heights South, Wingate"
34,310,By Neighborhood (community district),"Bay Ridge, Dyker Heights"
35,311,By Neighborhood (community district),"Bensonhurst, Bath Beach"
36,312,By Neighborhood (community district),"Borough Park, Ocean Parkway"
37,313,By Neighborhood (community district),"Coney Island, Brighton Beach"
38,314,By Neighborhood (community district),"Flatbush, Midwood"
39,315,By Neighborhood (community district),"Sheepshead Bay, Gerritsen Beach"
40,316,By Neighborhood (community district),"Brownsville, Ocean Hill"
41,317,By Neighborhood (community district),"East Flatbush, Rugby, Farragut"
42,318,By Neighborhood (community district),"Canarsie, Flatlands"
43,401,By Neighborhood (community district),"Astoria, Long Island City"
44,402,By Neighborhood (community district),"Sunnyside, Woodside"
45,403,By Neighborhood (community district),"Jackson Heights, North Corona"
46,404,By Neighborhood (community district),"Elmhurst, South Corona"
47,405,By Neighborhood (community district),"Ridgewood, Glendale, Maspeth"
48,406,By Neighborhood (community district),"Forest Hills, Rego Park"
49,407,By Neighborhood (community district),Flushing Bay Terrace
50,408,By Neighborhood (community district),"Fresh Meadows, Briarwood"
51,409,By Neighborhood (community district),"Woodhaven, Richmond Hill"
52,410,By Neighborhood (community district),"Ozone Park, Howard Beach"
53,411,By Neighborhood (community district),"Bayside, Douglastown, Little neck"
54,412,By Neighborhood (community district),"Jamaica, St. Albans, Hollis"
55,413,By Neighborhood (community district),"Queens Village, Rosedale"
56,414,By Neighborhood (community district),"The Rockaways, Broad Channel"
57,501,By Neighborhood (community district),"Stapleton, Port Richmond"
58,502,By Neighborhood (community district),"New Springville, South Beach"
59,503,By Neighborhood (community district),"Tottenville, Woodrow, Great Kills"
